Model,Team,Condition,Provider,Metric,mean,ci
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Safety,0.666,0.022
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.682,0.023
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.69,0.009
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.66,0.015
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Safety,0.707,0.011
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Safety,0.688,0.01
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Safety,0.67,0.01
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.339,0.042
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.698,0.022
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.705,0.016
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.706,0.011
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.661,0.014
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Safety,0.715,0.015
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Safety,0.687,0.004
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Safety,0.686,0.003
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.682,0.009
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Safety,0.69,0.008
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Safety,0.652,0.024
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.442,0.017
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.631,0.014
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.65,0.025
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Safety,0.614,0.023
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Safety,0.684,0.017
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Meta + AMBOSS,Safety,0.7,0.009
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Safety,0.616,0.009
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Safety,0.59,0.036
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.631,0.031
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Safety,0.674,0.007
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Safety,0.65,0.016
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.471,0.022
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.661,0.006
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.643,0.015
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Safety,0.592,0.009
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Safety,0.717,0.018
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Safety,0.52,0.008
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Safety,0.491,0.008
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Safety,0.625,0.025
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Safety,0.647,0.014
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Safety,0.607,0.022
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.367,0.037
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.621,0.027
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.584,0.01
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.567,0.023
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.673,0.017
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.483,0.006
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.486,0.006
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.477,0.008
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,Safety,0.658,0.005
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,Safety,0.669,0.008
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,Safety,0.695,0.016
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Safety,0.698,0.016
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,Safety,0.698,0.014
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Safety,0.694,0.022
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Safety,0.691,0.027
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Safety,0.712,0.01
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,Safety,0.641,0.018
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,Safety,0.686,0.032
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,Safety,0.698,0.011
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Safety,0.714,0.02
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Safety,0.69,0.017
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Safety,0.675,0.021
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,Safety,0.688,0.014
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Safety,0.707,0.02
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Safety,0.69,0.014
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + DeepSeek,Safety,0.687,0.037
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + OpenAI,Safety,0.708,0.016
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,Safety,0.7,0.007
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + OpenAI,Safety,0.705,0.017
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + AMBOSS,Safety,0.706,0.019
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Safety,0.697,0.02
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Safety,0.675,0.02
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Safety,0.715,0.044
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Safety,0.619,0.014
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + DeepSeek,Safety,0.73,0.016
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Safety,0.736,0.016
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Google,Safety,0.736,0.012
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + AMBOSS,Safety,0.756,0.015
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Meta,Safety,0.729,0.029
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Safety,0.655,0.013
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Safety,0.715,0.021
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Safety,0.522,0.011
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Safety,0.524,0.011
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + DeepSeek,Safety,0.64,0.017
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Safety,0.661,0.025
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Safety,0.718,0.033
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Safety,0.5,0.007
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Safety,0.499,0.008
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,Safety,0.654,0.009
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,Safety,0.628,0.009
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,Safety,0.668,0.009
DeepSeek R1,Solo Models,Advisor,DeepSeek,Safety,0.672,0.01
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,Safety,0.662,0.011
GPT-4.1,Solo Models,Advisor,OpenAI,Safety,0.609,0.008
GPT-4.1 mini,Solo Models,Advisor,OpenAI,Safety,0.543,0.005
GPT-4o,Solo Models,Advisor,OpenAI,Safety,0.575,0.016
GPT-4o mini,Solo Models,Advisor,OpenAI,Safety,0.49,0.012
GPT-5,Solo Models,Advisor,OpenAI,Safety,0.642,0.01
GPT-5 mini,Solo Models,Advisor,OpenAI,Safety,0.621,0.014
GPT-5 nano,Solo Models,Advisor,OpenAI,Safety,0.586,0.014
Gemini 2.0 Flash,Solo Models,Advisor,Google,Safety,0.605,0.013
Gemini 2.5 Flash,Solo Models,Advisor,Google,Safety,0.664,0.013
Gemini 2.5 Pro,Solo Models,Advisor,Google,Safety,0.695,0.01
Gemini 3 Pro,Solo Models,Advisor,Google,Safety,0.628,0.013
Glass Health 4.0,Solo Models,Advisor,Glass Health,Safety,0.663,0.013
Grok 4,Solo Models,Advisor,xAI,Safety,0.646,0.014
Grok 4 Fast,Solo Models,Advisor,xAI,Safety,0.649,0.021
Kimi K2,Solo Models,Advisor,Moonshot AI,Safety,0.613,0.012
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,Safety,0.679,0.008
Llama 3.3 70b,Solo Models,Advisor,Meta,Safety,0.538,0.009
Llama 4 Maverick,Solo Models,Advisor,Meta,Safety,0.612,0.006
Llama 4 Scout,Solo Models,Advisor,Meta,Safety,0.482,0.006
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,Safety,0.604,0.011
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,Safety,0.537,0.014
Qwen3 235B,Solo Models,Advisor,Alibaba,Safety,0.565,0.015
Qwen3 32B,Solo Models,Advisor,Alibaba,Safety,0.527,0.014
o1,Solo Models,Advisor,OpenAI,Safety,0.599,0.009
o1 mini,Solo Models,Advisor,OpenAI,Safety,0.461,0.015
o3 mini,Solo Models,Advisor,OpenAI,Safety,0.494,0.006
o4 mini,Solo Models,Advisor,OpenAI,Safety,0.525,0.014
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,nnh_cumulative,9.141,0.944
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,nnh_cumulative,9.697,0.594
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,nnh_cumulative,2.784,0.175
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,nnh_cumulative,8.889,1.089
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,nnh_cumulative,8.862,2.304
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,nnh_cumulative,8.586,0.495
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,nnh_cumulative,11.126,3.139
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,nnh_cumulative,8.159,0.914
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,nnh_cumulative,7.906,0.419
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,nnh_cumulative,8.372,0.792
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,nnh_cumulative,9.485,0.661
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,nnh_cumulative,13.492,0.974
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,nnh_cumulative,10.152,1.175
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,nnh_cumulative,9.36,1.549
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,nnh_cumulative,11.574,0.907
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,nnh_cumulative,12.208,1.79
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,nnh_cumulative,11.636,1.5
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,nnh_cumulative,10.373,1.084
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,nnh_cumulative,14.599,1.47
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,nnh_cumulative,10.842,1.451
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,nnh_cumulative,10.891,1.669
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,nnh_cumulative,10.067,1.145
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,2.633,0.078
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,9.394,0.594
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,8.333,0
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,8.586,0.495
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,10.067,1.145
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,nnh_cumulative,8.12,0.419
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,nnh_cumulative,7.906,0.419
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,8.333,0
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,nnh_cumulative,8.462,1.508
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,2.615,0.172
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,8.098,0.692
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,8.372,0.792
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,8.095,1.867
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,10.104,4.114
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,8.442,1.273
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,nnh_cumulative,8.155,0.573
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,nnh_cumulative,7.937,2.04
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,nnh_cumulative,6.843,2.211
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,7.222,1.089
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,2.518,0.284
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,7.425,1.207
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,7.639,2.326
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,7.555,1.82
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,nnh_cumulative,8.928,1.315
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,nnh_cumulative,5.828,0.838
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,6.035,0.646
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,nnh_cumulative,11.79,1.328
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,nnh_cumulative,9.697,0.594
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,3.394,0.385
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,9.394,0.594
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,8.889,1.089
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,9.141,0.944
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,9.975,2.512
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,nnh_cumulative,8.97,0.604
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,nnh_cumulative,8.625,0.914
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,9.677,0.783
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,nnh_cumulative,10.067,1.145
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,11.667,1.633
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,11.136,1.519
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,8.799,1.203
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,nnh_cumulative,15.718,2.738
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,nnh_cumulative,11.636,1.932
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,nnh_cumulative,7.723,0.674
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,2.476,0.253
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,10.53,1.998
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,11.781,1.622
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,11.204,1.417
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,nnh_cumulative,7.996,0.847
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,nnh_cumulative,15.147,2.581
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,nnh_cumulative,9.141,0.944
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,nnh_cumulative,9.141,0.944
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,nnh_cumulative,8.586,0.495
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,nnh_cumulative,10.5,0.98
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,nnh_cumulative,8.625,0.914
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,3.622,0.231
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,7.009,0.67
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,8.12,0.419
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,nnh_cumulative,10.278,2.373
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,nnh_cumulative,8.372,0.792
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Meta + AMBOSS,nnh_cumulative,13.024,1.467
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,nnh_cumulative,9.59,0.594
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,nnh_cumulative,8.586,1.95
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,9.141,0.944
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,nnh_cumulative,8.838,0.495
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,nnh_cumulative,9.333,0.8
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,4.013,0.328
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,8.12,0.419
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,7.692,0
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,nnh_cumulative,9.091,0
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,nnh_cumulative,13.968,2.776
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,nnh_cumulative,7.438,0.356
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,nnh_cumulative,6.182,0.307
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,nnh_cumulative,9.764,1.32
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,nnh_cumulative,10.051,0.81
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,nnh_cumulative,6.564,0.72
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,2.81,0.181
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,nnh_cumulative,6.825,0.311
